feature_id	mz	rtime
Cluster_0001	102.1280658	1.56014725
Cluster_0002	102.1279372	2.153590135
Cluster_0003	102.1280843	2.925569852
Cluster_0004	102.1280978	3.419616506
Cluster_0005	102.1270375	5.801039303
Cluster_0006	102.1230393	8.137534771
Cluster_0007	102.122598	8.795715202
Cluster_0008	102.1244963	9.499603741
Cluster_0009	102.1237674	9.755914623
Cluster_0010	102.1189719	10.42137224
Cluster_0011	102.1144823	11.00280295
Cluster_0012	102.1235008	11.88802884
Cluster_0013	102.1224416	12.78388256
Cluster_0014	102.1122661	13.07677796
Cluster_0015	102.1206827	13.46525831
Cluster_0016	102.115009	13.86235768
Cluster_0017	102.1158644	13.99499779
Cluster_0018	102.1169987	14.19059388
Cluster_0019	102.1233038	14.9264332
Cluster_0020	102.1248274	15.41223712
Cluster_0021	102.1112539	15.49451824
Cluster_0022	102.1190161	15.79060423
Cluster_0023	102.120796	16.13861296
Cluster_0024	102.1200169	16.47198287
Cluster_0025	102.11948	16.61502476
Cluster_0026	102.1212516	16.77117491
Cluster_0027	102.1186489	17.73285322
Cluster_0028	130.1591489	1.230773626
Cluster_0029	130.1593192	1.425923237
Cluster_0030	130.159008	1.570897156
Cluster_0031	130.1592301	1.700771509
Cluster_0032	130.159427	1.873437185
Cluster_0033	130.1600165	2.189736679
Cluster_0034	130.1594177	2.280596671
Cluster_0035	130.1590144	2.382880753
Cluster_0036	130.1593445	2.568198176
Cluster_0037	130.1593483	2.707853838
Cluster_0038	130.1593039	2.844708387
Cluster_0039	149.0239379	10.59300301
Cluster_0040	167.9942522	1.492307269
Cluster_0041	172.1163517	9.052728288
Cluster_0042	172.1159897	3.255155414
Cluster_0043	172.1159403	5.08737579
Cluster_0044	172.1160947	6.106721081
Cluster_0045	174.128114	4.366241783
Cluster_0046	201.1138902	0.816955322
Cluster_0047	201.1126737	1.312963045
Cluster_0048	201.1135974	1.474553435
Cluster_0049	201.1132485	1.564970307
Cluster_0050	201.1133928	1.710199196
Cluster_0051	201.1142867	1.843192584
Cluster_0052	201.1129802	1.913213825
Cluster_0053	201.1128345	2.111040459
Cluster_0054	201.1130451	2.224713191
Cluster_0055	201.1127783	2.400336613
Cluster_0056	201.1131803	2.538086968
Cluster_0057	201.1131204	2.609222073
Cluster_0058	201.1125945	2.672383378
Cluster_0059	201.1133719	2.740753873
Cluster_0060	201.1133085	2.882827497
Cluster_0061	201.1128849	2.980795169
Cluster_0062	201.1128306	3.056261075
Cluster_0063	201.1132483	3.418672392
Cluster_0064	201.1131968	3.480233051
Cluster_0065	201.113131	3.603822205
Cluster_0066	201.113072	4.348166213
Cluster_0067	201.112954	4.743521244
Cluster_0068	201.1124821	5.019685407
Cluster_0069	201.1130758	5.156246583
Cluster_0070	201.1125898	5.872058257
Cluster_0071	201.1125767	5.933462127
Cluster_0072	201.1127015	6.0365315
Cluster_0073	201.113692	6.167087665
Cluster_0074	201.1128205	6.317807458
Cluster_0075	201.1136075	7.146051886
Cluster_0076	201.1132268	7.406668865
Cluster_0077	201.1128151	7.974293733
Cluster_0078	201.112763	8.507590628
Cluster_0079	201.113238	8.613854065
Cluster_0080	201.1122265	8.677226622
Cluster_0081	201.1125288	8.87590328
Cluster_0082	201.1126463	8.926795259
Cluster_0083	201.1140763	9.097115045
Cluster_0084	201.1129138	9.164541849
Cluster_0085	201.1136194	9.370643955
Cluster_0086	201.1135047	9.545770511
Cluster_0087	201.1133394	9.726897461
Cluster_0088	201.1133485	9.907549285
Cluster_0089	201.1126729	10.28532234
Cluster_0090	201.113675	10.5508832
Cluster_0091	201.1133773	10.67714531
Cluster_0092	201.1130278	10.82461031
Cluster_0093	201.1125979	10.93739468
Cluster_0094	201.1132207	11.05588611
Cluster_0095	201.1122316	11.17143887
Cluster_0096	201.1128672	11.27221337
Cluster_0097	201.1126804	11.4080514
Cluster_0098	201.1126688	11.4760189
Cluster_0099	201.1135979	11.56516788
Cluster_0100	201.1141702	11.7751647
Cluster_0101	201.1134687	11.8759184
Cluster_0102	201.1145255	12.1091409
Cluster_0103	201.1138366	12.17187529
Cluster_0104	201.1123176	12.43862958
Cluster_0105	201.1133635	12.49551743
Cluster_0106	201.1133426	12.60768374
Cluster_0107	201.1136814	12.73920498
Cluster_0108	201.1128398	12.9043642
Cluster_0109	201.1130666	13.0289986
Cluster_0110	201.1141578	13.12045845
Cluster_0111	201.1135275	13.18686934
Cluster_0112	201.1129516	13.32222624
Cluster_0113	201.1133507	13.43633399
